Train End Draw,Target Draw,Training Size,Strategy Version,Config Version,Config Hash,M1 Top6,M1 Hit@4,M1 Hit@5,M1 Hit@6,M2 Top6,M2 Hit@4,M2 Hit@5,M2 Hit@6,M3 Top6,M3 Hit@4,M3 Hit@5,M3 Hit@6,M4 Top6,M4 Hit@4,M4 Hit@5,M4 Hit@6,M5 Top6,M5 Hit@4,M5 Hit@5,M5 Hit@6,M6 Top6,M6 Hit@4,M6 Hit@5,M6 Hit@6,Ensemble Top6,Ensemble Hit@4,Ensemble Hit@5,Ensemble Hit@6,Random Expected Hit@4,Random Expected Hit@5,Random Expected Hit@6
31442,31443,500,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,10 25 32 69 80 6,3,4,5,16 22 29 36 42 11,0,0,0,22 23 42 57 34 73,1,2,3,3 5 14 42 57 22,0,1,1,2 3 6 12 16 24,3,3,4,12 16 19 79 9 72,2,2,2,16 57 36 22 29 11,1,1,1,1.0,1.25,1.5
31443,31444,501,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,10 25 32 39 69 80,0,0,0,16 22 36 42 11 29,2,2,2,22 23 57 66 35 42,2,3,4,23 28 42 51 5 73,2,2,2,1 2 6 10 12 24,2,2,2,9 19 69 79 2 72,2,3,3,57 36 16 22 73 11,2,2,2,1.0,1.25,1.5
31444,31445,502,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,6 10 25 57 32 69,0,0,0,16 22 36 42 57 11,0,0,0,3 23 34 66 42 5,0,0,0,23 34 35 66 14 42,0,0,0,2 6 9 15 16 17,2,2,3,9 19 69 79 2 12,1,1,1,57 16 9 79 67 22,1,2,2,1.0,1.25,1.5
31445,31446,503,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,6 10 24 57 39 69,1,2,2,15 16 17 22 36 42,1,2,2,5 22 23 57 42 3,1,1,1,3 22 42 57 34 14,1,2,2,4 9 15 17 24 31,2,2,2,9 19 69 79 2 6,1,1,1,57 9 67 22 16 46,1,1,1,1.0,1.25,1.5
31446,31447,504,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,6 24 39 57 69 10,0,1,1,15 16 17 22 36 57,1,2,2,22 34 42 57 21 23,1,1,2,3 14 34 57 23 28,0,1,2,1 4 8 11 12 15,2,2,2,9 19 69 79 12 15,1,1,1,57 15 36 22 9 11,2,2,3,1.0,1.25,1.5
31447,31448,505,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,6 39 57 69 24 10,0,0,0,11 15 17 22 36 57,0,0,0,22 28 34 57 9 23,0,1,2,14 22 35 57 3 34,1,1,1,4 5 11 22 23 26,0,1,1,9 19 69 79 16 6,2,2,2,57 22 11 29 36 67,1,1,1,1.0,1.25,1.5
31448,31449,506,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,39 57 60 69 10 4,1,1,1,11 15 17 22 29 36,0,1,1,5 22 23 28 57 66,0,0,1,20 28 42 57 22 35,0,0,1,2 9 12 14 23 29,0,0,1,9 19 69 79 12 2,0,0,0,29 57 79 11 22 9,1,1,1,1.0,1.25,1.5
31449,31450,507,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,6 39 57 60 69 29,0,1,1,11 17 22 29 36 57,0,0,0,23 51 57 66 35 64,1,1,1,3 22 42 57 13 5,1,2,2,6 25 29 31 35 38,1,1,2,9 19 69 79 59 65,2,2,2,29 57 51 11 73 67,1,1,1,1.0,1.25,1.5
31450,31451,508,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,2 39 60 69 57 6,0,0,0,11 15 17 22 29 36,1,1,1,13 22 23 42 57 66,3,3,4,3 22 23 42 57 28,2,2,2,1 2 3 10 13 15,0,1,1,5 9 19 65 69 15,0,0,0,79 51 29 15 57 2,0,0,0,1.0,1.25,1.5
31451,31452,509,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,2 12 39 69 57 71,1,1,2,11 15 17 22 36 57,1,1,1,22 23 51 66 42 35,1,1,1,14 23 42 57 34 28,0,0,0,12 13 22 25 26 27,1,1,1,6 9 19 66 69 16,2,2,2,51 2 57 42 22 66,0,0,1,1.0,1.25,1.5
31454,31455,511,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,2 12 39 71 53 40,2,2,2,11 15 17 22 36 9,1,2,3,3 5 22 66 73 51,2,2,2,3 22 42 66 57 35,3,3,4,2 3 19 21 27 33,2,2,2,5 9 65 69 75 79,1,1,1,51 55 66 73 9 3,1,2,3,1.0,1.25,1.5
31455,31456,512,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,2 12 39 71 35 80,1,1,2,15 17 22 36 9 10,1,1,1,9 22 34 42 66 57,1,1,1,23 57 64 66 34 42,0,0,0,2 3 4 8 9 10,1,1,1,5 6 9 76 2 66,1,1,1,9 66 2 42 3 55,0,0,0,1.0,1.25,1.5
31456,31457,513,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,2 39 71 80 53 55,0,0,0,9 10 11 15 17 22,3,3,4,22 23 51 66 34 42,1,1,1,22 23 42 66 14 5,1,2,3,6 8 19 21 22 25,0,1,2,5 6 9 76 1 79,2,2,3,66 9 29 79 2 42,2,2,2,1.0,1.25,1.5
31457,31458,514,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,2 12 71 79 55 25,0,0,0,9 10 15 17 22 36,1,1,2,9 23 51 57 42 5,1,1,1,22 23 35 42 51 28,1,1,1,5 7 9 10 12 14,0,0,1,5 6 9 79 2 75,0,0,0,9 79 66 22 15 42,0,1,1,1.0,1.25,1.5
31458,31459,515,1.0.0,1.0.0,b23bbeaca4e6e07441b8420d756d96f7d41aee3c0a3d24641743389459ad2638,35 40 54 71 55 25,3,3,3,9 10 15 22 36 17,2,2,3,9 22 34 57 35 42,2,3,3,23 34 35 66 28 22,2,3,3,3 8 14 15 16 18,1,1,1,5 6 9 15 2 10,1,1,2,9 15 79 35 3 66,2,2,2,1.0,1.25,1.5
