Window,Model,Evaluation Count,Mean Hit@4,Median Hit@4,Std Hit@4,Cumulative Hit@4,Lift@4,Mean Hit@5,Median Hit@5,Std Hit@5,Cumulative Hit@5,Lift@5,Mean Hit@6,Median Hit@6,Std Hit@6,Cumulative Hit@6,Lift@6
All,M1,15803,0.9937986458267417,1.0,0.8410839149285836,15705,0.9937986458267417,1.245459722837436,1.0,0.9358619604436752,19682,0.9963677782699488,1.4973739163449977,1.0,1.0199751786950395,23663,0.9982492775633318
All,M2,15803,1.002341327596026,1.0,0.8424190740230514,15840,1.002341327596026,1.2534328924887679,1.0,0.9396791896215775,19808,1.0027463139910142,1.499715243941024,1.0,1.018861193642941,23700,0.9998101626273493
All,M3,15803,1.000696070366386,1.0,0.846319042972195,15814,1.000696070366386,1.247737771309245,1.0,0.9326190591654872,19718,0.998190217047396,1.4998418021894577,1.0,1.0177426686049749,23702,0.9998945347929719
All,M4,15803,1.0005695121179523,1.0,0.8533185560035921,15812,1.0005695121179523,1.2443839777257484,1.0,0.9419723161862975,19665,0.9955071821805987,1.4982598240840346,1.0,1.0292409681518702,23677,0.9988398827226898
All,M5,15803,0.9942415996962602,1.0,0.8546331210887272,15712,0.9942415996962602,1.2396380434094791,1.0,0.9556875288307676,19590,0.9917104347275834,1.4873125355945074,1.0,1.039929458523862,23504,0.9915416903963382
All,M6,15803,0.9920901094728849,1.0,0.847552553454092,15678,0.9920901094728849,1.2426121622476745,1.0,0.94323560722714,19637,0.9940897297981396,1.4957919382395748,1.0,1.0259701281146758,23638,0.9971946254930498
All,Ensemble,15803,0.9946212744415617,1.0,0.8483186600743895,15718,0.9946212744415617,1.243055116117193,1.0,0.943155110077403,19644,0.9944440928937544,1.490792887426438,1.0,1.026430760759318,23559,0.9938619249509587
Last 25,M1,25,0.96,1.0,0.8708616422830896,24,0.96,1.24,1.0,0.9068627239003707,31,0.992,1.56,1.0,1.0983624174196784,39,1.04
Last 25,M2,25,0.96,1.0,0.9583318840568752,24,0.96,1.16,1.0,0.9243376006633075,29,0.9279999999999999,1.32,1.0,0.8818163074019442,33,0.88
Last 25,M3,25,1.04,1.0,0.7735631842325487,26,1.04,1.36,1.0,0.8890444308357148,34,1.088,1.72,2.0,1.0777754868245983,43,1.1466666666666667
Last 25,M4,25,1.16,1.0,0.88,29,1.16,1.32,1.0,0.881816307401944,33,1.056,1.64,2.0,1.0150862032359615,41,1.0933333333333333
Last 25,M5,25,0.92,1.0,0.9346657156438339,23,0.92,1.16,1.0,0.8333066662399864,29,0.9279999999999999,1.4,1.0,0.8944271909999159,35,0.9333333333333332
Last 25,M6,25,1.16,1.0,0.9243376006633075,29,1.16,1.28,1.0,1.0007996802557444,32,1.024,1.68,1.0,1.2560254774486066,42,1.1199999999999999
Last 25,Ensemble,25,0.72,1.0,0.664529909033446,18,0.72,1.08,1.0,0.9346657156438337,27,0.8640000000000001,1.28,1.0,0.96,32,0.8533333333333334
Last 50,M1,50,0.94,1.0,0.8811356308764274,47,0.94,1.32,1.0,1.0087616170334794,66,1.056,1.66,2.0,1.1594826432508596,83,1.1066666666666667
Last 50,M2,50,0.92,1.0,0.8681013765684283,46,0.92,1.08,1.0,0.8908422980528035,54,0.8640000000000001,1.28,1.0,0.8953211714239756,64,0.8533333333333334
