Window,Objective,Selection Size,Model,Evaluation Count,Observed Count,Observed Rate,Random Rate,Expected Count,Lift,Rate CI Low,Rate CI High,Lift CI Low,Lift CI High,Exact p-value,Monte Carlo p-value,Mean Hit@4,Mean Hit@5,Mean Hit@6,q-value,Evidence Status
All,Exact,4,M1,15797,42,0.002658732670760271,0.003063392303898633,48.392408224686704,0.8679047301178595,0.0019168320287081026,0.0035921533514840782,0.6257220226964212,1.172606377221917,0.8395923727344747,0.8387032259354813,0.9938595935937203,,,0.8395923727344747,No historical evidence
All,Exact,4,M2,15797,53,0.0033550674178641515,0.003063392303898633,48.392408224686704,1.095213111815394,0.002514155194783028,0.004386242104789568,0.8207095093838888,1.4318251368613177,0.27196103839709207,0.2754544909101818,1.0020890042413115,,,0.8245368447277994,Promising historical signal - insufficient evidence
All,Exact,4,M3,15797,45,0.0028486421472431476,0.003063392303898633,48.392408224686704,0.929897925126278,0.0020785548953938375,0.0038098711945935486,0.6785141076278608,1.24367721030862,0.7067458669095423,0.7061258774824504,1.000506425270621,,,0.8245368447277994,No historical evidence
All,Exact,4,M4,15797,47,0.0029752484648983986,0.003063392303898633,48.392408224686704,0.9712267217985571,0.0021868948516696974,0.003954507942320835,0.7138801154806522,1.2908917794459829,0.5987776736946886,0.5995080098398032,1.0002532126353105,,,0.8245368447277994,No historical evidence
All,Exact,4,M5,15797,48,0.003038551623726024,0.003063392303898633,48.392408224686704,0.9918911201346966,0.002241212137130781,0.0040266833759933325,0.7316112057468113,1.3144524032618234,0.5417708383916178,0.5435691286174277,0.9941761093878585,,,0.8245368447277994,No historical evidence
All,Exact,4,M6,15797,46,0.002911945306070773,0.003063392303898633,48.392408224686704,0.9505623234624175,0.002132674709546518,0.0038822382251160583,0.6961807362486238,1.2673003781380918,0.6541358258783804,0.6525669486610268,0.9920238019877192,,,0.8245368447277994,No historical evidence
All,Exact,4,Ensemble,15797,47,0.0029752484648983986,0.003063392303898633,48.392408224686704,0.9712267217985571,0.0021868948516696974,0.003954507942320835,0.7138801154806522,1.2908917794459829,0.5987776736946886,0.5963680726385472,0.9946192314996518,,,0.8245368447277994,No historical evidence
All,Exact,5,M1,15797,10,0.000633031588276255,0.0006449246955576069,10.187875415723516,0.9815589209666269,0.00030360366150901613,0.001163858473421271,0.4707583127151272,1.8046424356800137,0.565390783713638,0.5679486410271795,,1.2455529530923592,,0.9741412224314491,No historical evidence
All,Exact,5,M2,15797,10,0.000633031588276255,0.0006449246955576069,10.187875415723516,0.9815589209666269,0.00030360366150901613,0.001163858473421271,0.4707583127151272,1.8046424356800137,0.565390783713638,0.5655686886262274,,1.2532759384693297,,0.9741412224314491,No historical evidence
All,Exact,5,M3,15797,7,0.0004431221117933785,0.0006449246955576069,10.187875415723516,0.6870912446766388,0.00017817603827682184,0.0009127864212223698,0.27627417511554503,1.4153379883106625,0.8813459611949513,0.883142337153257,,1.247452047857188,,0.9741412224314491,No historical evidence
All,Exact,5,M4,15797,6,0.000379818952965753,0.0006449246955576069,10.187875415723516,0.5889353525799761,0.00013939920831218004,0.0008265212478089965,0.2161480391003703,1.2815779167742674,0.939753977261244,0.9385212295754085,,1.2440969804393238,,0.9741412224314491,No historical evidence
All,Exact,5,M5,15797,16,0.001012850541242008,0.0006449246955576069,10.187875415723516,1.5704942735466032,0.0005790389202387118,0.0016442860885105672,0.8978395837952371,2.5495784233985717,0.055514110705105806,0.05411891762164757,,1.2394758498449072,,0.38859877493574063,Promising historical signal - insufficient evidence
All,Exact,5,M6,15797,5,0.0003165157941381275,0.0006449246955576069,10.187875415723516,0.49077946048331345,0.00010277954836074742,0.0007384863894690239,0.15936674323175581,1.1450738273102146,0.9741412224314491,0.9743005139897202,,1.2426410077862886,,0.9741412224314491,No historical evidence
All,Exact,5,Ensemble,15797,11,0.0006963347471038804,0.0006449246955576069,10.187875415723516,1.0797148130632894,0.00034765741837919595,0.00124559283446449,0.5390666860393811,1.9313771716983805,0.4404592233777448,0.43879122417551647,,1.2429575235804267,,0.9741412224314491,Promising historical signal - insufficient evidence
All,Exact,6,M1,15797,5,0.0003165157941381275,0.0001289849391115214,2.0375750831447035,2.4538973024165673,0.00010277954836074742,0.0007384863894690239,0.796833716158779,5.725369136551072,0.0560950103277637,0.05633887322253555,,,1.4973729189086535,0.19633253614717294,Insufficient tail sample
All,Exact,6,M2,15797,2,0.000126606317655251,0.0001289849391115214,2.0375750831447035,0.9815589209666269,1.5332980202912752e-05,0.00045726992610076503,0.1188741903398174,3.5451420084433725,0.6040868644153207,0.6079278414431711,,,1.4995252263087928,0.845721610181449,Insufficient tail sample
All,Exact,6,M3,15797,1,6.33031588276255e-05,0.0001289849391115214,2.0375750831447035,0.49077946048331345,1.602695935678325e-06,0.000352651594764417,0.012425450186030026,2.7340524963113073,0.8696727263779995,0.8679626407471851,,,1.4995885294676203,0.8696727263779996,Insufficient tail sample
All,Exact,6,M4,15797,1,6.33031588276255e-05,0.0001289849391115214,2.0375750831447035,0.49077946048331345,1.602695935678325e-06,0.000352651594764417,0.012425450186030026,2.7340524963113073,0.8696727263779995,0.8683226335473291,,,1.4979426473381021,0.8696727263779996,Insufficient tail sample
All,Exact,6,M5,15797,5,0.0003165157941381275,0.0001289849391115214,2.0375750831447035,2.4538973024165673,0.00010277954836074742,0.0007384863894690239,0.796833716158779,5.725369136551072,0.0560950103277637,0.05725885482290354,,,1.4871178071785782,0.19633253614717294,Insufficient tail sample
All,Exact,6,M6,15797,2,0.000126606317655251,0.0001289849391115214,2.0375750831447035,0.9815589209666269,1.5332980202912752e-05,0.00045726992610076503,0.1188741903398174,3.5451420084433725,0.6040868644153207,0.6047679046419072,,,1.4957270367791353,0.845721610181449,Insufficient tail sample
All,Exact,6,Ensemble,15797,2,0.000126606317655251,0.0001289849391115214,2.0375750831447035,0.9815589209666269,1.5332980202912752e-05,0.00045726992610076503,0.1188741903398174,3.5451420084433725,0.6040868644153207,0.6030279394412111,,,1.490726087231753,0.845721610181449,Insufficient tail sample
All,NearPerfect,4,M1,15797,668,0.04228651009685383,0.046311283653055806,731.5793478673226,0.9130930253120634,0.03920121612282703,0.04554174432160196,0.846472242413008,0.9833833297038601,0.992958604530618,0.9934201315973681,0.9938595935937203,,,0.992958604530618,No historical evidence
All,NearPerfect,4,M2,15797,701,0.04437551433816547,0.046311283653055806,731.5793478673226,0.9582009142870606,0.04121676131551968,0.0477033817429589,0.8899939294340857,1.0300595876446028,0.8807858584274557,0.8805623887522249,1.0020890042413115,,,0.992958604530618,No historical evidence
All,NearPerfect,4,M3,15797,717,0.045388364879407485,0.046311283653055806,731.5793478673226,0.9800714059113016,0.0421947052669536,0.04875073989232702,0.911110682723851,1.052675202387966,0.7146493462658468,0.7164256714865702,1.000506425270621,,,0.992958604530618,No historical evidence
All,NearPerfect,4,M4,15797,765,0.04842691650313351,0.046311283653055806,731.5793478673226,1.0456828807840248,0.0451311444349291,0.05189021207022009,0.9745172423427559,1.1204658557719802,0.1068814372085148,0.10823783524329514,1.0002532126353105,,,0.7481700604596035,Promising historical signal - insufficient evidence
All,NearPerfect,4,M5,15797,742,0.04697094385009812,0.046311283653055806,731.5793478673226,1.0142440490741782,0.04372362557820514,0.05038635583948047,0.9441246739296564,1.0879930735013383,0.35179001779417196,0.35607287854242914,0.9941761093878585,,,0.992958604530618,Promising historical signal - insufficient evidence
All,NearPerfect,4,M6,15797,729,0.04614800278533899,0.046311283653055806,731.5793478673226,0.9964742746294823,0.04292845511498849,0.04953596719398212,0.9269545503551573,1.0696306231778039,0.5441630242208388,0.5433091338173237,0.9920238019877192,,,0.992958604530618,No historical evidence
All,NearPerfect,4,Ensemble,15797,719,0.045514971197062735,0.046311283653055806,731.5793478673226,0.9828052173643318,0.04231697974180273,0.04888162824229318,0.9137509566528822,1.0555014758064858,0.6882289796533858,0.6871662566748665,0.9946192314996518,,,0.992958604530618,No historical evidence
