Window,Model,Evaluation Count,Mean Hit@4,Median Hit@4,Std Hit@4,Cumulative Hit@4,Lift@4,Mean Hit@5,Median Hit@5,Std Hit@5,Cumulative Hit@5,Lift@5,Mean Hit@6,Median Hit@6,Std Hit@6,Cumulative Hit@6,Lift@6
All,M1,1000,0.953,1.0,0.8251005999270634,953,0.953,1.196,1.0,0.9238960980543213,1196,0.9568,1.445,1.0,1.0034814397884997,1445,0.9633333333333334
All,M2,1000,1.021,1.0,0.8500347051738536,1021,1.021,1.288,1.0,0.9386458331021345,1288,1.0304,1.559,1.0,1.0161294208908627,1559,1.0393333333333332
All,M3,1000,0.975,1.0,0.8187643128519951,975,0.975,1.209,1.0,0.9040569672316009,1209,0.9672000000000001,1.482,1.0,1.0008376491719324,1482,0.988
All,M4-A,1000,1.042,1.0,0.8533674472347771,1042,1.042,1.267,1.0,0.9272060180995376,1267,1.0135999999999998,1.52,1.0,1.0215674231297707,1520,1.0133333333333334
All,M4-B,1000,1.018,1.0,0.8646826007269951,1018,1.018,1.258,1.0,0.9483859973660512,1258,1.0064,1.515,1.0,1.043922889872619,1515,1.01
All,M4-C,1000,1.042,1.0,0.8533674472347771,1042,1.042,1.27,1.0,0.9268764750493994,1270,1.016,1.514,1.0,1.0147925896457857,1514,1.0093333333333334
All,M4-D,1000,1.021,1.0,0.8273808071257154,1021,1.021,1.27,1.0,0.9236341266973629,1270,1.016,1.512,1.0,1.0078968201160277,1512,1.008
All,M4-E,1000,1.011,1.0,0.8653779521110994,1011,1.011,1.255,1.0,0.9570658284569563,1255,1.004,1.51,1.0,1.0391823709051264,1510,1.0066666666666666
All,M4-F,1000,1.022,1.0,0.8657459211570102,1022,1.022,1.289,1.0,0.9536660841195937,1289,1.0312,1.538,1.0,1.030803570036503,1538,1.0253333333333334
All,M5,1000,0.964,1.0,0.8418455915427722,964,0.964,1.226,1.0,0.943887705185315,1226,0.9808,1.453,1.0,1.0265432285101295,1453,0.9686666666666667
All,M6,1000,0.983,1.0,0.8571528451799014,983,0.983,1.219,1.0,0.9450074073783761,1219,0.9752000000000001,1.474,1.0,1.0475323384029724,1474,0.9826666666666667
All,Ensemble,1000,0.976,1.0,0.8505433557438444,976,0.976,1.216,1.0,0.9355982043591149,1216,0.9728,1.446,1.0,0.9995418950699365,1446,0.964
All,M7,1000,0.979,1.0,0.8200969454887637,979,0.979,1.218,1.0,0.9404658420166039,1218,0.9743999999999999,1.462,1.0,1.0317732308991157,1462,0.9746666666666667
All,M8,1000,1.037,1.0,0.8506650339587258,1037,1.037,1.272,1.0,0.929524609679593,1272,1.0176,1.52,1.0,1.0244998779892558,1520,1.0133333333333334
All,M9,1000,1.038,1.0,0.8309969915709684,1038,1.038,1.273,1.0,0.9243760057465793,1273,1.0184,1.459,1.0,1.020940252904155,1459,0.9726666666666667
All,M10,1000,0.957,1.0,0.8574094704398827,957,0.957,1.209,1.0,0.9451555427547362,1209,0.9672000000000001,1.47,1.0,1.0339729203417276,1470,0.98
Last 25,M1,25,0.96,1.0,0.8708616422830896,24,0.96,1.24,1.0,0.9068627239003707,31,0.992,1.56,1.0,1.0983624174196784,39,1.04
Last 25,M2,25,0.96,1.0,0.9583318840568752,24,0.96,1.16,1.0,0.9243376006633075,29,0.9279999999999999,1.32,1.0,0.8818163074019442,33,0.88
Last 25,M3,25,1.04,1.0,0.7735631842325487,26,1.04,1.36,1.0,0.8890444308357148,34,1.088,1.72,2.0,1.0777754868245983,43,1.1466666666666667
Last 25,M4-A,25,1.16,1.0,0.88,29,1.16,1.32,1.0,0.881816307401944,33,1.056,1.64,2.0,1.0150862032359615,41,1.0933333333333333
Last 25,M4-B,25,0.92,1.0,0.795989949685296,23,0.92,1.12,1.0,0.9086253353280438,28,0.8960000000000001,1.4,1.0,1.019803902718557,35,0.9333333333333332
Last 25,M4-C,25,1.16,1.0,0.88,29,1.16,1.32,1.0,0.881816307401944,33,1.056,1.64,2.0,1.0150862032359615,41,1.0933333333333333
Last 25,M4-D,25,1.08,1.0,0.7440430095095308,27,1.08,1.4,1.0,0.8944271909999159,35,1.1199999999999999,1.88,2.0,0.9516301802696255,47,1.2533333333333332
Last 25,M4-E,25,1.12,1.0,0.8158431221748456,28,1.12,1.28,1.0,0.7222188034107115,32,1.024,1.52,2.0,0.7547184905645282,38,1.0133333333333334
Last 25,M4-F,25,1.32,1.0,0.78587530817554,33,1.32,1.52,1.0,0.8541662601625049,38,1.216,1.72,2.0,0.8726969691708572,43,1.1466666666666667
Last 25,M5,25,0.92,1.0,0.9346657156438339,23,0.92,1.16,1.0,0.8333066662399864,29,0.9279999999999999,1.4,1.0,0.8944271909999159,35,0.9333333333333332
Last 25,M6,25,1.16,1.0,0.9243376006633075,29,1.16,1.28,1.0,1.0007996802557444,32,1.024,1.68,1.0,1.2560254774486066,42,1.1199999999999999
Last 25,Ensemble,25,0.72,1.0,0.664529909033446,18,0.72,1.08,1.0,0.9346657156438337,27,0.8640000000000001,1.28,1.0,0.96,32,0.8533333333333334
Last 25,M7,25,1.16,1.0,0.7310266752998826,29,1.16,1.2,1.0,0.938083151964686,30,0.96,1.4,1.0,0.848528137423857,35,0.9333333333333332
Last 25,M8,25,1.12,1.0,0.8158431221748456,28,1.12,1.32,1.0,0.881816307401944,33,1.056,1.64,2.0,1.0150862032359615,41,1.0933333333333333
Last 25,M9,25,1.08,1.0,0.8908422980528035,27,1.08,1.36,1.0,1.0150862032359615,34,1.088,1.44,1.0,1.061319932913728,36,0.96
Last 25,M10,25,1.0,1.0,0.848528137423857,25,1.0,1.2,1.0,0.938083151964686,30,0.96,1.44,1.0,1.061319932913728,36,0.96
Last 50,M1,50,0.94,1.0,0.8811356308764274,47,0.94,1.32,1.0,1.0087616170334794,66,1.056,1.66,2.0,1.1594826432508596,83,1.1066666666666667
Last 50,M2,50,0.92,1.0,0.8681013765684283,46,0.92,1.08,1.0,0.8908422980528035,54,0.8640000000000001,1.28,1.0,0.8953211714239756,64,0.8533333333333334
Last 50,M3,50,0.98,1.0,0.7871467461661771,49,0.98,1.24,1.0,0.9499473669630334,62,0.992,1.52,1.0,1.0814804667676619,76,1.0133333333333334
Last 50,M4-A,50,1.04,1.0,0.8475848040166836,52,1.04,1.2,1.0,0.9165151389911681,60,0.96,1.5,1.0,1.02469507659596,75,1.0
Last 50,M4-B,50,0.9,1.0,0.754983443527075,45,0.9,1.1,1.0,0.7810249675906655,55,0.8800000000000001,1.34,1.0,0.8627861844049197,67,0.8933333333333334
Last 50,M4-C,50,1.04,1.0,0.8475848040166836,52,1.04,1.2,1.0,0.9165151389911681,60,0.96,1.5,1.0,1.02469507659596,75,1.0
Last 50,M4-D,50,1.02,1.0,0.7871467461661771,51,1.02,1.32,1.0,0.9682974749528163,66,1.056,1.68,2.0,1.1034491379306977,84,1.1199999999999999
Last 50,M4-E,50,1.2,1.0,0.8,60,1.2,1.34,1.0,0.8392854103342915,67,1.072,1.62,2.0,0.8919641248391104,81,1.08
