ChronologicalIndex,DrawID,PreviousDrawID,EligibleTarget,Phase,OutcomeAccess
0,30852,,False,training_history,ALLOWED
1,30853,30852,False,training_history,ALLOWED
2,30854,30853,False,training_history,ALLOWED
3,30855,30854,False,training_history,ALLOWED
4,30856,30855,False,training_history,ALLOWED
5,30857,30856,False,training_history,ALLOWED
6,30858,30857,False,training_history,ALLOWED
7,30859,30858,False,training_history,ALLOWED
8,30860,30859,False,training_history,ALLOWED
9,30861,30860,False,training_history,ALLOWED
10,30862,30861,False,training_history,ALLOWED
11,30863,30862,False,training_history,ALLOWED
12,30864,30863,False,training_history,ALLOWED
13,30865,30864,False,training_history,ALLOWED
14,30866,30865,False,training_history,ALLOWED
15,30867,30866,False,training_history,ALLOWED
16,30868,30867,False,training_history,ALLOWED
17,30869,30868,False,training_history,ALLOWED
18,30870,30869,False,training_history,ALLOWED
19,30871,30870,False,training_history,ALLOWED
20,30872,30871,False,training_history,ALLOWED
21,30873,30872,False,training_history,ALLOWED
22,30874,30873,False,training_history,ALLOWED
23,30875,30874,False,training_history,ALLOWED
24,30876,30875,False,training_history,ALLOWED
25,30877,30876,False,training_history,ALLOWED
26,30878,30877,False,training_history,ALLOWED
27,30879,30878,False,training_history,ALLOWED
28,30880,30879,False,training_history,ALLOWED
29,30881,30880,False,training_history,ALLOWED
30,30882,30881,False,training_history,ALLOWED
31,30883,30882,False,training_history,ALLOWED
32,30884,30883,False,training_history,ALLOWED
33,30885,30884,False,training_history,ALLOWED
34,30886,30885,False,training_history,ALLOWED
35,30887,30886,False,training_history,ALLOWED
36,30912,30887,False,training_history,ALLOWED
37,30913,30912,False,training_history,ALLOWED
38,30914,30913,False,training_history,ALLOWED
39,30915,30914,False,training_history,ALLOWED
40,30916,30915,False,training_history,ALLOWED
41,30917,30916,False,training_history,ALLOWED
42,30918,30917,False,training_history,ALLOWED
43,30919,30918,False,training_history,ALLOWED
44,30920,30919,False,training_history,ALLOWED
45,30924,30920,False,training_history,ALLOWED
46,30925,30924,False,training_history,ALLOWED
47,30926,30925,False,training_history,ALLOWED
48,30927,30926,False,training_history,ALLOWED
49,30928,30927,False,training_history,ALLOWED
50,30929,30928,False,training_history,ALLOWED
51,30930,30929,False,training_history,ALLOWED
52,30948,30930,False,training_history,ALLOWED
53,30949,30948,False,training_history,ALLOWED
54,30950,30949,False,training_history,ALLOWED
55,30951,30950,False,training_history,ALLOWED
56,30952,30951,False,training_history,ALLOWED
57,30953,30952,False,training_history,ALLOWED
58,30954,30953,False,training_history,ALLOWED
59,30955,30954,False,training_history,ALLOWED
60,30956,30955,False,training_history,ALLOWED
61,30957,30956,False,training_history,ALLOWED
62,30958,30957,False,training_history,ALLOWED
63,30960,30958,False,training_history,ALLOWED
64,30961,30960,False,training_history,ALLOWED
65,30962,30961,False,training_history,ALLOWED
66,30963,30962,False,training_history,ALLOWED
