Window,Objective,Selection Size,Model,Evaluation Count,Observed Count,Observed Rate,Random Rate,Expected Count,Lift,Rate CI Low,Rate CI High,Lift CI Low,Lift CI High,Exact p-value,Monte Carlo p-value,Mean Hit@4,Mean Hit@5,Mean Hit@6,q-value,Evidence Status
All,Exact,4,M1,1000,2,0.002,0.003063392303898633,3.0633923038986333,0.6528710010319917,0.00024230111687723198,0.007205838911457497,0.07909568636340404,2.352241631699267,0.8105749822972161,0.8106037879242415,0.953,,,0.9534902864587845,Insufficient tail sample
All,Exact,4,M2,1000,2,0.002,0.003063392303898633,3.0633923038986333,0.6528710010319917,0.00024230111687723198,0.007205838911457497,0.07909568636340404,2.352241631699267,0.8105749822972161,0.8073838523229535,1.021,,,0.9534902864587845,Insufficient tail sample
All,Exact,4,M3,1000,2,0.002,0.003063392303898633,3.0633923038986333,0.6528710010319917,0.00024230111687723198,0.007205838911457497,0.07909568636340404,2.352241631699267,0.8105749822972161,0.8112237755244895,0.975,,,0.9534902864587845,Insufficient tail sample
All,Exact,4,M4-A,1000,5,0.005,0.003063392303898633,3.0633923038986333,1.6321775025799794,0.0016254195175627604,0.011629470559812147,0.5305946337640682,3.796272042928317,0.19525210546688154,0.19731605367892643,1.042,,,0.9534902864587845,Insufficient tail sample
All,Exact,4,M4-B,1000,2,0.002,0.003063392303898633,3.0633923038986333,0.6528710010319917,0.00024230111687723198,0.007205838911457497,0.07909568636340404,2.352241631699267,0.8105749822972161,0.8102037959240815,1.018,,,0.9534902864587845,Insufficient tail sample
All,Exact,4,M4-C,1000,5,0.005,0.003063392303898633,3.0633923038986333,1.6321775025799794,0.0016254195175627604,0.011629470559812147,0.5305946337640682,3.796272042928317,0.19525210546688154,0.19369612607747844,1.042,,,0.9534902864587845,Insufficient tail sample
All,Exact,4,M4-D,1000,1,0.001,0.003063392303898633,3.0633923038986333,0.32643550051599585,2.5317487491294065e-05,0.005558924279826672,0.008264526701028042,1.8146302296157415,0.9534902864587845,0.9531609367812643,1.021,,,0.9534902864587845,Insufficient tail sample
All,Exact,4,M4-E,1000,2,0.002,0.003063392303898633,3.0633923038986333,0.6528710010319917,0.00024230111687723198,0.007205838911457497,0.07909568636340404,2.352241631699267,0.8105749822972161,0.8074438511229776,1.011,,,0.9534902864587845,Insufficient tail sample
All,Exact,4,M4-F,1000,4,0.004,0.003063392303898633,3.0633923038986333,1.3057420020639834,0.0010909079877259717,0.010209664683929871,0.3561110949902254,3.3327970011991344,0.36698911803833595,0.36589268214635706,1.022,,,0.9534902864587845,Insufficient tail sample
All,Exact,4,M5,1000,4,0.004,0.003063392303898633,3.0633923038986333,1.3057420020639834,0.0010909079877259717,0.010209664683929871,0.3561110949902254,3.3327970011991344,0.36698911803833595,0.36905261894762104,0.964,,,0.9534902864587845,Insufficient tail sample
All,Exact,4,M6,1000,2,0.002,0.003063392303898633,3.0633923038986333,0.6528710010319917,0.00024230111687723198,0.007205838911457497,0.07909568636340404,2.352241631699267,0.8105749822972161,0.8101837963240736,0.983,,,0.9534902864587845,Insufficient tail sample
All,Exact,4,Ensemble,1000,1,0.001,0.003063392303898633,3.0633923038986333,0.32643550051599585,2.5317487491294065e-05,0.005558924279826672,0.008264526701028042,1.8146302296157415,0.9534902864587845,0.9533209335813284,0.976,,,0.9534902864587845,Insufficient tail sample
All,Exact,4,M7,1000,1,0.001,0.003063392303898633,3.0633923038986333,0.32643550051599585,2.5317487491294065e-05,0.005558924279826672,0.008264526701028042,1.8146302296157415,0.9534902864587845,0.9533209335813284,0.979,,,0.9534902864587845,Insufficient tail sample
All,Exact,4,M8,1000,5,0.005,0.003063392303898633,3.0633923038986333,1.6321775025799794,0.0016254195175627604,0.011629470559812147,0.5305946337640682,3.796272042928317,0.19525210546688154,0.19549609007819843,1.037,,,0.9534902864587845,Insufficient tail sample
All,Exact,4,M9,1000,1,0.001,0.003063392303898633,3.0633923038986333,0.32643550051599585,2.5317487491294065e-05,0.005558924279826672,0.008264526701028042,1.8146302296157415,0.9534902864587845,0.9536809263814724,1.038,,,0.9534902864587845,Insufficient tail sample
All,Exact,4,M10,1000,4,0.004,0.003063392303898633,3.0633923038986333,1.3057420020639834,0.0010909079877259717,0.010209664683929871,0.3561110949902254,3.3327970011991344,0.36698911803833595,0.3635327293454131,0.957,,,0.9534902864587845,Insufficient tail sample
All,Exact,5,M1,1000,2,0.002,0.0006449246955576069,0.6449246955576069,3.101137254901961,0.00024230111687723198,0.007205838911457497,0.3757045102261692,11.173147750571518,0.13686585281167118,0.1377772444551109,,1.196,,1.0,Insufficient tail sample
All,Exact,5,M2,1000,0,0.0,0.0006449246955576069,0.6449246955576069,0.0,0.0,0.003682083896865671,0.0,5.709323774122361,1.0,1.0,,1.288,,1.0,Insufficient tail sample
All,Exact,5,M3,1000,0,0.0,0.0006449246955576069,0.6449246955576069,0.0,0.0,0.003682083896865671,0.0,5.709323774122361,1.0,1.0,,1.209,,1.0,Insufficient tail sample
All,Exact,5,M4-A,1000,0,0.0,0.0006449246955576069,0.6449246955576069,0.0,0.0,0.003682083896865671,0.0,5.709323774122361,1.0,1.0,,1.267,,1.0,Insufficient tail sample
All,Exact,5,M4-B,1000,1,0.001,0.0006449246955576069,0.6449246955576069,1.5505686274509805,2.5317487491294065e-05,0.005558924279826672,0.0392565018298832,8.619493590674773,0.47540710167041533,0.4735705285894282,,1.258,,1.0,Insufficient tail sample
All,Exact,5,M4-C,1000,0,0.0,0.0006449246955576069,0.6449246955576069,0.0,0.0,0.003682083896865671,0.0,5.709323774122361,1.0,1.0,,1.27,,1.0,Insufficient tail sample
All,Exact,5,M4-D,1000,0,0.0,0.0006449246955576069,0.6449246955576069,0.0,0.0,0.003682083896865671,0.0,5.709323774122361,1.0,1.0,,1.27,,1.0,Insufficient tail sample
All,Exact,5,M4-E,1000,1,0.001,0.0006449246955576069,0.6449246955576069,1.5505686274509805,2.5317487491294065e-05,0.005558924279826672,0.0392565018298832,8.619493590674773,0.47540710167041533,0.4743305133897322,,1.255,,1.0,Insufficient tail sample
All,Exact,5,M4-F,1000,1,0.001,0.0006449246955576069,0.6449246955576069,1.5505686274509805,2.5317487491294065e-05,0.005558924279826672,0.0392565018298832,8.619493590674773,0.47540710167041533,0.4752904941901162,,1.289,,1.0,Insufficient tail sample
All,Exact,5,M5,1000,0,0.0,0.0006449246955576069,0.6449246955576069,0.0,0.0,0.003682083896865671,0.0,5.709323774122361,1.0,1.0,,1.226,,1.0,Insufficient tail sample
All,Exact,5,M6,1000,0,0.0,0.0006449246955576069,0.6449246955576069,0.0,0.0,0.003682083896865671,0.0,5.709323774122361,1.0,1.0,,1.219,,1.0,Insufficient tail sample
All,Exact,5,Ensemble,1000,0,0.0,0.0006449246955576069,0.6449246955576069,0.0,0.0,0.003682083896865671,0.0,5.709323774122361,1.0,1.0,,1.216,,1.0,Insufficient tail sample
All,Exact,5,M7,1000,1,0.001,0.0006449246955576069,0.6449246955576069,1.5505686274509805,2.5317487491294065e-05,0.005558924279826672,0.0392565018298832,8.619493590674773,0.47540710167041533,0.4740305193896122,,1.218,,1.0,Insufficient tail sample
All,Exact,5,M8,1000,0,0.0,0.0006449246955576069,0.6449246955576069,0.0,0.0,0.003682083896865671,0.0,5.709323774122361,1.0,1.0,,1.272,,1.0,Insufficient tail sample
All,Exact,5,M9,1000,1,0.001,0.0006449246955576069,0.6449246955576069,1.5505686274509805,2.5317487491294065e-05,0.005558924279826672,0.0392565018298832,8.619493590674773,0.47540710167041533,0.4812503749925002,,1.273,,1.0,Insufficient tail sample
All,Exact,5,M10,1000,1,0.001,0.0006449246955576069,0.6449246955576069,1.5505686274509805,2.5317487491294065e-05,0.005558924279826672,0.0392565018298832,8.619493590674773,0.47540710167041533,0.4769104617907642,,1.209,,1.0,Insufficient tail sample
All,Exact,6,M1,1000,1,0.001,0.0001289849391115214,0.1289849391115214,7.752843137254902,2.5317487491294065e-05,0.005558924279826672,0.19628250914941603,43.097467953373865,0.12102010872963487,0.12125757484850302,,,1.445,0.9681608698370789,Insufficient tail sample
All,Exact,6,M2,1000,0,0.0,0.0001289849391115214,0.1289849391115214,0.0,0.0,0.003682083896865671,0.0,28.546618870611805,1.0,1.0,,,1.559,1.0,Insufficient tail sample
All,Exact,6,M3,1000,0,0.0,0.0001289849391115214,0.1289849391115214,0.0,0.0,0.003682083896865671,0.0,28.546618870611805,1.0,1.0,,,1.482,1.0,Insufficient tail sample
All,Exact,6,M4-A,1000,0,0.0,0.0001289849391115214,0.1289849391115214,0.0,0.0,0.003682083896865671,0.0,28.546618870611805,1.0,1.0,,,1.52,1.0,Insufficient tail sample
All,Exact,6,M4-B,1000,1,0.001,0.0001289849391115214,0.1289849391115214,7.752843137254902,2.5317487491294065e-05,0.005558924279826672,0.19628250914941603,43.097467953373865,0.12102010872963487,0.12251754964900702,,,1.515,0.9681608698370789,Insufficient tail sample
All,Exact,6,M4-C,1000,0,0.0,0.0001289849391115214,0.1289849391115214,0.0,0.0,0.003682083896865671,0.0,28.546618870611805,1.0,1.0,,,1.514,1.0,Insufficient tail sample
All,Exact,6,M4-D,1000,0,0.0,0.0001289849391115214,0.1289849391115214,0.0,0.0,0.003682083896865671,0.0,28.546618870611805,1.0,1.0,,,1.512,1.0,Insufficient tail sample
All,Exact,6,M4-E,1000,0,0.0,0.0001289849391115214,0.1289849391115214,0.0,0.0,0.003682083896865671,0.0,28.546618870611805,1.0,1.0,,,1.51,1.0,Insufficient tail sample
All,Exact,6,M4-F,1000,0,0.0,0.0001289849391115214,0.1289849391115214,0.0,0.0,0.003682083896865671,0.0,28.546618870611805,1.0,1.0,,,1.538,1.0,Insufficient tail sample
All,Exact,6,M5,1000,0,0.0,0.0001289849391115214,0.1289849391115214,0.0,0.0,0.003682083896865671,0.0,28.546618870611805,1.0,1.0,,,1.453,1.0,Insufficient tail sample
All,Exact,6,M6,1000,0,0.0,0.0001289849391115214,0.1289849391115214,0.0,0.0,0.003682083896865671,0.0,28.546618870611805,1.0,1.0,,,1.474,1.0,Insufficient tail sample
All,Exact,6,Ensemble,1000,0,0.0,0.0001289849391115214,0.1289849391115214,0.0,0.0,0.003682083896865671,0.0,28.546618870611805,1.0,1.0,,,1.446,1.0,Insufficient tail sample
All,Exact,6,M7,1000,0,0.0,0.0001289849391115214,0.1289849391115214,0.0,0.0,0.003682083896865671,0.0,28.546618870611805,1.0,1.0,,,1.462,1.0,Insufficient tail sample
All,Exact,6,M8,1000,0,0.0,0.0001289849391115214,0.1289849391115214,0.0,0.0,0.003682083896865671,0.0,28.546618870611805,1.0,1.0,,,1.52,1.0,Insufficient tail sample
All,Exact,6,M9,1000,0,0.0,0.0001289849391115214,0.1289849391115214,0.0,0.0,0.003682083896865671,0.0,28.546618870611805,1.0,1.0,,,1.459,1.0,Insufficient tail sample
All,Exact,6,M10,1000,0,0.0,0.0001289849391115214,0.1289849391115214,0.0,0.0,0.003682083896865671,0.0,28.546618870611805,1.0,1.0,,,1.47,1.0,Insufficient tail sample
All,NearPerfect,4,M1,1000,39,0.039,0.046311283653055806,46.3112836530558,0.8421273807085807,0.027877148795336416,0.052930935785445075,0.601951546067693,1.1429382131141268,0.8821269478378571,0.8827423451530969,0.953,,,0.9341114604682689,No historical evidence
All,NearPerfect,4,M2,1000,49,0.049,0.046311283653055806,46.3112836530558,1.0580574783261656,0.03646705917204782,0.06426605314016964,0.7874335646846526,1.3876975128053723,0.36334312393233936,0.3632527349453011,1.021,,,0.9341114604682689,Promising historical signal - insufficient evidence
All,NearPerfect,4,M3,1000,37,0.037,0.046311283653055806,46.3112836530558,0.7989413611850638,0.026182708843737336,0.05064112305992485,0.5653634876521004,1.09349426457937,0.9341114604682689,0.9342813143737125,0.975,,,0.9341114604682689,No historical evidence
All,NearPerfect,4,M4-A,1000,44,0.044,0.046311283653055806,46.3112836530558,0.9500924295173732,0.032149497010871435,0.05862041920633091,0.694204402791372,1.2657912841606778,0.6569358654039466,0.6609667806643867,1.042,,,0.9341114604682689,No historical evidence
All,NearPerfect,4,M4-B,1000,46,0.046,0.046311283653055806,46.3112836530558,0.9932784490408901,0.033871498547677924,0.060883552713742635,0.7313875987853976,1.3146591480783818,0.5396393256389402,0.5413491730165396,1.018,,,0.9341114604682689,No historical evidence
All,NearPerfect,4,M4-C,1000,44,0.044,0.046311283653055806,46.3112836530558,0.9500924295173732,0.032149497010871435,0.05862041920633091,0.694204402791372,1.2657912841606778,0.6569358654039466,0.6545869082618347,1.042,,,0.9341114604682689,No historical evidence
All,NearPerfect,4,M4-D,1000,39,0.039,0.046311283653055806,46.3112836530558,0.8421273807085807,0.027877148795336416,0.052930935785445075,0.601951546067693,1.1429382131141268,0.8821269478378571,0.8834023319533609,1.021,,,0.9341114604682689,No historical evidence
All,NearPerfect,4,M4-E,1000,54,0.054,0.046311283653055806,46.3112836530558,1.166022527134958,0.0408233511256307,0.06987400557706731,0.8814990193634378,1.5087900845187812,0.14032248905592934,0.1394572108557829,1.011,,,0.9341114604682689,Promising historical signal - insufficient evidence
All,NearPerfect,4,M4-F,1000,58,0.058,0.046311283653055806,46.3112836530558,1.252394566181992,0.04433286025282071,0.07433649538235161,0.9572798842058322,1.6051486704460327,0.049802400412013816,0.0503789924201516,1.022,,,0.796838406592221,Promising historical signal - insufficient evidence
All,NearPerfect,4,M5,1000,38,0.038,0.046311283653055806,46.3112836530558,0.8205343709468222,0.027028815982983928,0.05178710362196412,0.5836334873693456,1.1182394340422692,0.9108064665550578,0.9113417731645367,0.964,,,0.9341114604682689,No historical evidence
All,NearPerfect,4,M6,1000,43,0.043,0.046311283653055806,46.3112836530558,0.9284994197556147,0.0312911704560926,0.057486257961972334,0.6756705491152561,1.241301329339835,0.711599731025245,0.7153856922861542,0.983,,,0.9341114604682689,No historical evidence
All,NearPerfect,4,Ensemble,1000,49,0.049,0.046311283653055806,46.3112836530558,1.0580574783261656,0.03646705917204782,0.06426605314016964,0.7874335646846526,1.3876975128053723,0.36334312393233936,0.3670726585468291,0.976,,,0.9341114604682689,Promising historical signal - insufficient evidence
All,NearPerfect,4,M7,1000,41,0.041,0.046311283653055806,46.3112836530558,0.8853134002320978,0.029580168534036118,0.055212459315299285,0.638724867909903,1.1922031729659506,0.807696116900499,0.8060438791224176,0.979,,,0.9341114604682689,No historical evidence
All,NearPerfect,4,M8,1000,43,0.043,0.046311283653055806,46.3112836530558,0.9284994197556147,0.0312911704560926,0.057486257961972334,0.6756705491152561,1.241301329339835,0.711599731025245,0.7066458670826583,1.037,,,0.9341114604682689,No historical evidence
All,NearPerfect,4,M9,1000,43,0.043,0.046311283653055806,46.3112836530558,0.9284994197556147,0.0312911704560926,0.057486257961972334,0.6756705491152561,1.241301329339835,0.711599731025245,0.7146457070858583,1.038,,,0.9341114604682689,No historical evidence
All,NearPerfect,4,M10,1000,42,0.042,0.046311283653055806,46.3112836530558,0.9069064099938563,0.030434706263140023,0.05635029157574473,0.6571769094362345,1.2167723960729928,0.7621266843543247,0.7610447791044179,0.957,,,0.9341114604682689,No historical evidence
All,NearPerfect,5,M1,1000,9,0.009,0.012737262737262736,12.737262737262736,0.7065882352941176,0.004123395660342474,0.017015783069894586,0.3237269847845346,1.3359057923893711,0.889135103305055,0.8879022419551609,,1.196,,0.9705844081293896,No historical evidence
All,NearPerfect,5,M2,1000,8,0.008,0.012737262737262736,12.737262737262736,0.628078431372549,0.0034599761653293115,0.015702049176074682,0.2716420503133052,1.2327648019804516,0.9392747357727368,0.9391612167756644,,1.288,,0.9705844081293896,No historical evidence
All,NearPerfect,5,M3,1000,10,0.01,0.012737262737262736,12.737262737262736,0.7850980392156863,0.004805510691049309,0.01831324305511245,0.377279702097283,1.4377691214249069,0.8178344234893044,0.8189236215275695,,1.209,,0.9705844081293896,No historical evidence
All,NearPerfect,5,M4-A,1000,7,0.007,0.012737262737262736,12.737262737262736,0.5495686274509805,0.0028188587596205245,0.014369194978918632,0.22130804850040356,1.1281226803056903,0.9705844081293896,0.9708805823883523,,1.267,,0.9705844081293896,No historical evidence
All,NearPerfect,5,M4-B,1000,11,0.011,0.012737262737262736,12.737262737262736,0.8636078431372549,0.0055035941923135875,0.019596628222016514,0.43208610090242366,1.5385274392343946,0.7266730863132899,0.7333253334933302,,1.258,,0.9705844081293896,No historical evidence
All,NearPerfect,5,M4-C,1000,7,0.007,0.012737262737262736,12.737262737262736,0.5495686274509805,0.0028188587596205245,0.014369194978918632,0.22130804850040356,1.1281226803056903,0.9705844081293896,0.9696406071878563,,1.27,,0.9705844081293896,No historical evidence
All,NearPerfect,5,M4-D,1000,9,0.009,0.012737262737262736,12.737262737262736,0.7065882352941176,0.004123395660342474,0.017015783069894586,0.3237269847845346,1.3359057923893711,0.889135103305055,0.8886222275554488,,1.27,,0.9705844081293896,No historical evidence
All,NearPerfect,5,M4-E,1000,14,0.014,0.012737262737262736,12.737262737262736,1.099137254901961,0.007674501565020782,0.023378156010314503,0.6025236130655532,1.835414444417633,0.3979091870415621,0.3982320353592928,,1.255,,0.9705844081293896,Promising historical signal - insufficient evidence
All,NearPerfect,5,M4-F,1000,13,0.013,0.012737262737262736,12.737262737262736,1.020627450980392,0.006939617502851476,0.022127803636778486,0.5448280094395551,1.7372495247384523,0.5082692448819447,0.5079898402031959,,1.289,,0.9705844081293896,Promising historical signal - insufficient evidence
All,NearPerfect,5,M5,1000,15,0.015,0.012737262737262736,12.737262737262736,1.1776470588235295,0.00841904975003438,0.024619700097041154,0.6609779450811306,1.9328878272265253,0.2975298326360224,0.29837403251934963,,1.226,,0.9705844081293896,Promising historical signal - insufficient evidence
All,NearPerfect,5,M6,1000,9,0.009,0.012737262737262736,12.737262737262736,0.7065882352941176,0.004123395660342474,0.017015783069894586,0.3237269847845346,1.3359057923893711,0.889135103305055,0.8891422171556569,,1.219,,0.9705844081293896,No historical evidence
All,NearPerfect,5,Ensemble,1000,10,0.01,0.012737262737262736,12.737262737262736,0.7850980392156863,0.004805510691049309,0.01831324305511245,0.377279702097283,1.4377691214249069,0.8178344234893044,0.8193436131277374,,1.216,,0.9705844081293896,No historical evidence
All,NearPerfect,5,M7,1000,14,0.014,0.012737262737262736,12.737262737262736,1.099137254901961,0.007674501565020782,0.023378156010314503,0.6025236130655532,1.835414444417633,0.3979091870415621,0.3989120217595648,,1.218,,0.9705844081293896,Promising historical signal - insufficient evidence
All,NearPerfect,5,M8,1000,7,0.007,0.012737262737262736,12.737262737262736,0.5495686274509805,0.0028188587596205245,0.014369194978918632,0.22130804850040356,1.1281226803056903,0.9705844081293896,0.9697806043879122,,1.272,,0.9705844081293896,No historical evidence
